id	address	price	lng	lat
/inmueble/30651390/	Rejas, Madrid	750	-3.5771601	40.44447460000001
/inmueble/30785611/	calle del general oraá, Castellana, Madrid	1800	-3.6821174	40.4360933
/inmueble/30674811/	calle arturo soria, Concepción, Madrid	900	-3.6560398	40.4555268
/inmueble/30785594/	calle vicente caballero, 22, Estrella, Madrid	1100	-3.6685853	40.4188187
/inmueble/28654036/	calle Mayor, Sol, Madrid	1200	-3.7078954	40.41613359999999
/inmueble/30785565/	calle oca, San Isidro, Madrid	500	-3.738586799999999	40.3891518
/inmueble/25087568/	calle Ilustracion, Argüelles, Madrid	1350	-3.717758799999999	40.4211904
/inmueble/30785559/	avenida concha espina, 15, Bernabéu-Hispanoamérica, Madrid	850	-3.6797153	40.4552066
/inmueble/30760213/	calle san bruno, Palacio, Madrid	1450	-3.7082997	40.4130174
/inmueble/30785554/	calle josé garcía granda,, Portazgo, Madrid	650	-3.6501447	40.3939043
/inmueble/30758973/	calle blasco de garay, Arapiles, Madrid	650	-3.7114695	40.4347403
/inmueble/2139949/	calle López de Hoyos, 290, Colina, Madrid	600	-3.6625599	40.4549391
/inmueble/30730006/	calle raimundo fernandez villaverde, Nuevos Ministerios-Ríos Rosas, Madrid	1200	-3.7010613	40.4426828
/inmueble/30785550/	Goya, Madrid	1850	-3.6718503	40.42572089999999
/inmueble/30622241/	calle arturo soria, Atalaya, Madrid	1100	-3.6585715	40.4582156
/inmueble/30785545/	Gaztambide, Madrid	1500	-3.7169624	40.4366125
/inmueble/30530911/	calle Zamora, Bellas Vistas, Madrid	649	 -3.708346499999999	40.4510424
/inmueble/30785527/	avenida de pablo iglesias, 46, Bellas Vistas, Madrid	840	-3.709796	40.4496816
/inmueble/30742493/	calle doctor piga, 8, Lavapiés-Embajadores, Madrid	850	-3.6983643	40.4084112
/inmueble/30075034/	calle Sierra de Pajarejo, 7, Valdemarín, Madrid	1250	-3.79731	40.46671
/inmueble/30628567/	calle castillo de candanchú, Las Tablas, Madrid	900	-3.6778816	40.5015818
/inmueble/2109302/	calle Puente la Reina, 39, Las Tablas, Madrid	504	 -3.6766249	40.5011857
/inmueble/30631262/	calle eunate, 12, Las Tablas, Madrid	1200	-3.6776084	40.5047424
/inmueble/30785440/	calle de san benito, 14, Ventilla-Almenara, Madrid	700	-3.6958778	40.4694349
/inmueble/26794762/	calle Francisco Navacerrada, 36, Guindalera, Madrid	650	-3.667838199999999	40.43113
